station,phase,travel_time_s,snr,quality,distance_km,method
IC.BJT,P,143.4195,4.5016,1,1096.3995,recursive
IC.MDJ,P,53.3195,2.7719,1,366.6104,stalta
IC.SSE,P,172.0195,2.7856,1,1336.9158,stalta
II.ERM,P,154.1195,2.5052,1,1176.8401,recursive
IU.INCN,P,65.9195,4.1792,1,476.7029,stalta
IU.MAJO,P,126.5195,2.8331,1,955.8998,recursive
IU.TATO,P,229.6695,2.6460,1,1944.9627,stalta
IU.ULN,P,238.9695,2.7327,1,1881.3508,stalta
IU.YSS,P,165.4999,2.7671,1,1260.3333,stalta
JP.JMM,P,141.3000,2.5930,1,1079.5031,recursive
JP.JTM,P,131.8000,2.6464,1,1012.0753,recursive
JP.JTU,P,100.7500,3.0593,1,757.1510,recursive
KS.BUS2,P,90.9195,4.6759,1,676.5256,stalta
KS.SEO2,P,64.5695,7.4744,1,464.6232,stalta
