network,station,latitude,longitude,elevation,distance_km
IC,BJT,40.0191,116.172,220,1093.69
IC,MDJ,44.6176,129.593,290,366.929
IC,SSE,31.0946,121.189,20,1338.09
II,ERM,42.015,143.157,40,1173.8
IU,ADK,51.8823,-176.684,130,4202.06
IU,INCN,37.4777,126.624,55,477.077
IU,MAJO,36.5457,138.204,405,954.775
IU,TATO,24.9735,121.497,160,1948.78
IU,ULN,47.8651,107.053,1610,1877.1
IU,YSS,46.9587,142.76,150,1257.95
JP,JMM,37.869,140.79,100,1077.38
JP,JTM,40.7895,141.065,130,1009.5
JP,JTU,34.5275,129.396,70,758.505
KS,BUS2,35.2486,129.113,89,677.699
KS,SEO2,37.4939,126.917,85,465.054
